iteration,best_fitness,coverage
128.0,6.0,0.29500000000000004
129.0,6.0,0.29500000000000004
130.0,6.0,0.29500000000000004
131.0,6.0,0.29500000000000004
132.0,6.0,0.29500000000000004
133.0,6.0,0.29500000000000004
134.0,6.0,0.29500000000000004
135.0,6.0,0.2975
136.0,6.0,0.3025
137.0,6.0,0.30500000000000005
138.0,6.0,0.30500000000000005
139.0,6.0,0.3075
140.0,6.0,0.3075
141.0,6.0,0.3075
142.0,6.0,0.3075
143.0,6.0,0.3075
144.0,6.0,0.3075
145.0,6.0,0.3075
146.0,6.0,0.3075
147.0,6.0,0.31000000000000005
148.0,6.0,0.31000000000000005
149.0,6.0,0.31000000000000005
150.0,6.0,0.31000000000000005
151.0,6.0,0.31000000000000005
152.0,6.0,0.31000000000000005
153.0,6.0,0.31000000000000005
154.0,6.0,0.31000000000000005
155.0,6.0,0.31000000000000005
156.0,6.0,0.3125
157.0,6.0,0.31499999999999995
158.0,6.0,0.31499999999999995
159.0,6.0,0.31499999999999995
160.0,6.0,0.31499999999999995
161.0,6.0,0.31499999999999995
162.0,6.0,0.31499999999999995
163.0,6.0,0.31499999999999995
164.0,6.0,0.31499999999999995
165.0,6.0,0.3175
166.0,6.0,0.3175
167.0,6.0,0.3175
168.0,6.0,0.3175
169.0,6.0,0.3175
170.0,6.0,0.3175
171.0,6.0,0.31999999999999995
172.0,6.0,0.31999999999999995
173.0,6.0,0.31999999999999995
174.0,6.0,0.31999999999999995
175.0,6.0,0.31999999999999995
176.0,6.0,0.31999999999999995
177.0,6.0,0.31999999999999995
178.0,6.0,0.31999999999999995
179.0,6.0,0.31999999999999995
180.0,6.0,0.31999999999999995
181.0,6.0,0.31999999999999995
182.0,6.0,0.31999999999999995
183.0,6.0,0.31999999999999995
184.0,6.0,0.31999999999999995
185.0,6.0,0.31999999999999995
186.0,6.0,0.31999999999999995
187.0,6.0,0.31999999999999995
188.0,6.0,0.31999999999999995
189.0,6.0,0.31999999999999995
190.0,6.0,0.31999999999999995
191.0,6.0,0.31999999999999995
192.0,6.0,0.31999999999999995
193.0,6.0,0.31999999999999995
194.0,6.0,0.31999999999999995
195.0,6.0,0.31999999999999995
196.0,6.0,0.31999999999999995
197.0,6.0,0.31999999999999995
198.0,6.0,0.31999999999999995
199.0,6.0,0.31999999999999995
200.0,6.0,0.31999999999999995
201.0,6.0,0.31999999999999995
202.0,6.0,0.31999999999999995
203.0,6.0,0.31999999999999995
204.0,6.0,0.31999999999999995
205.0,6.0,0.31999999999999995
206.0,6.0,0.31999999999999995
207.0,6.0,0.31999999999999995
208.0,6.0,0.31999999999999995
209.0,6.0,0.31999999999999995
210.0,6.0,0.31999999999999995
211.0,6.0,0.31999999999999995
212.0,6.0,0.3225
213.0,6.0,0.32499999999999996
214.0,6.0,0.32499999999999996
215.0,6.0,0.32499999999999996
216.0,6.0,0.32499999999999996
217.0,6.0,0.32499999999999996
218.0,6.0,0.32499999999999996
219.0,6.0,0.32499999999999996
220.0,6.0,0.32499999999999996
221.0,6.0,0.32499999999999996
222.0,6.0,0.32499999999999996
223.0,6.0,0.32499999999999996
224.0,6.0,0.32499999999999996
225.0,6.0,0.32499999999999996
226.0,6.0,0.32499999999999996
227.0,6.0,0.3275
228.0,6.0,0.32999999999999996
229.0,6.0,0.32999999999999996
230.0,6.0,0.32999999999999996
231.0,6.0,0.32999999999999996
232.0,6.0,0.32999999999999996
233.0,6.0,0.32999999999999996
234.0,6.0,0.32999999999999996
235.0,6.0,0.32999999999999996
236.0,6.0,0.32999999999999996
237.0,6.0,0.32999999999999996
238.0,6.0,0.32999999999999996
239.0,6.0,0.32999999999999996
240.0,6.0,0.3325
241.0,6.0,0.3325
242.0,6.0,0.3325
243.0,6.0,0.3325
244.0,6.0,0.3325
245.0,6.0,0.3325
246.0,6.0,0.3325
247.0,6.0,0.3325
248.0,6.0,0.3325
249.0,6.0,0.3325
250.0,6.0,0.3325
251.0,6.0,0.3325
252.0,6.0,0.3325
253.0,6.0,0.3325
254.0,6.0,0.3325
255.0,6.0,0.3325
256.0,6.0,0.3325
257.0,6.0,0.3325
258.0,6.0,0.33499999999999996
259.0,6.0,0.33499999999999996
260.0,6.0,0.33499999999999996
261.0,6.0,0.33499999999999996
